Time_s,Coherence,SNR,Frequency_Hz
0.0,0.9602,1.9203,230.5
1.0,0.6052,1.2104,229.0
2.0,0.6,1.2001,229.5
3.0,0.6191,1.2382,227.5
4.0,0.9446,1.8891,227.5
5.0,0.7697,1.5394,229.5
6.0,0.821,1.6421,229.5
7.0,0.8309,1.6618,228.0
8.0,0.7452,1.4904,228.0
9.0,0.5571,1.1142,232.0
10.0,0.808,1.6159,228.5
11.0,0.8221,1.6443,227.5
12.0,0.8097,1.6194,232.5
13.0,0.6034,1.2069,230.0
14.0,0.8575,1.7151,230.0
15.0,0.6603,1.3207,228.5
16.0,0.7802,1.5603,228.5
17.0,0.8836,1.7672,228.5
18.0,0.7089,1.4178,228.5
19.0,0.8099,1.6199,232.5
20.0,0.6308,1.2616,232.0
21.0,0.8977,1.7954,229.0
22.0,0.7607,1.5214,228.0
23.0,0.7556,1.5111,230.5
24.0,0.4468,0.8936,230.5
25.0,0.6264,1.2527,229.5
26.0,0.813,1.6261,232.0
27.0,0.6113,1.2227,230.0
28.0,0.7142,1.4284,228.0
29.0,0.546,1.092,228.0
30.0,0.7988,1.5976,228.5
31.0,0.7986,1.5971,229.0
32.0,0.634,1.2679,232.5
33.0,0.2234,0.4468,228.5
34.0,0.3918,0.7835,229.0
35.0,0.8946,1.7893,230.0
36.0,0.5831,1.1661,232.5
37.0,0.5097,1.0195,228.0
38.0,0.7757,1.5514,230.5
39.0,0.5679,1.1358,231.5
40.0,0.5645,1.1291,232.0
41.0,0.6505,1.301,227.5
42.0,0.7885,1.5771,227.5
43.0,0.8936,1.7872,228.0
44.0,0.6386,1.2772,230.5
45.0,0.9628,1.9257,228.0
46.0,0.8569,1.7138,231.5
47.0,0.4859,0.9718,231.5
48.0,0.6952,1.3904,229.0
49.0,0.7128,1.4257,228.5
50.0,0.9586,1.9173,231.0
51.0,0.5533,1.1067,232.0
52.0,0.8783,1.7566,229.5
53.0,0.8567,1.7135,229.5
54.0,0.5282,1.0564,229.0
55.0,0.7377,1.4754,228.0
56.0,0.8582,1.7164,229.0
57.0,0.6654,1.3308,227.5
58.0,0.7943,1.5886,230.5
59.0,0.7209,1.4418,227.5
60.0,0.7932,1.5864,227.5
61.0,0.7897,1.5794,228.0
62.0,0.8944,1.7887,232.5
63.0,0.4014,0.8027,232.0
64.0,0.8754,1.7507,228.5
65.0,0.5973,1.1947,230.0
66.0,0.8866,1.7732,231.0
67.0,0.7889,1.5777,229.5
68.0,0.8324,1.6647,230.5
69.0,0.8138,1.6276,230.5
70.0,0.4657,0.9314,229.5
71.0,0.6222,1.2444,231.5
72.0,0.7238,1.4475,231.5
73.0,0.572,1.1441,227.5
74.0,0.4461,0.8922,230.0
75.0,0.855,1.71,228.5
76.0,0.7471,1.4942,229.0
77.0,0.5271,1.0542,229.0
78.0,0.6931,1.3861,230.5
79.0,0.8445,1.689,230.5
80.0,0.7243,1.4487,230.5
81.0,0.6582,1.3163,227.5
82.0,0.5272,1.0545,232.5
83.0,0.658,1.316,230.5
84.0,0.9461,1.8922,228.5
85.0,0.9454,1.8909,232.0
86.0,0.8554,1.7109,232.0
87.0,0.8701,1.7402,232.0
88.0,0.9452,1.8905,232.0
89.0,0.7833,1.5666,228.0
90.0,0.7044,1.4089,231.5
91.0,0.9182,1.8365,230.0
92.0,0.878,1.756,230.0
93.0,0.9025,1.805,232.5
94.0,0.5724,1.1448,227.5
95.0,0.8027,1.6054,228.0
96.0,0.7199,1.4397,229.5
97.0,0.9131,1.8263,230.5
98.0,0.7985,1.5971,229.0
99.0,0.7358,1.4716,231.5
100.0,0.919,1.8381,228.5
101.0,0.5543,1.1087,229.5
102.0,0.7432,1.4864,232.5
103.0,0.7049,1.4099,232.5
104.0,0.917,1.834,227.5
